Sample;Density;ModulusOfElasticity;PoissonsRatio
AISI 8630 Steel, normalized;7.85;187.0;0.3
AISI 8630 Steel, oil quenched 845°C (1550°F), 455°C (850°F) temper;7.85;205.0;0.3
AISI 8630H Steel, normalized;7.85;187.0;0.3
AISI 8630H Steel, oil quenched 845°C (1550°F), 455°C (850°F) temper;7.85;205.0;0.3
AISI 86B30H Steel, normalized;7.85;187.0;0.3
AISI 86B30H Steel, oil quenched 845°C (1550°F), 455°C (850°F) temper;7.85;205.0;0.3
Oxygen-free silver-bearing Copper, UNS C10400;8.94;115.0;0.3
Oxygen-free silver-bearing Copper, UNS C10500;8.94;115.0;0.3
Oxygen-free silver-bearing Copper, UNS C10700;8.94;115.0;0.3
Electrolytic tough pitch anneal resistant Copper, UNS C11100;8.91;115.0;0.3
Silver-bearing tough pitch Copper, UNS C11300;8.91;115.0;0.3
Silver-bearing tough pitch Copper, UNS C11400;8.91;115.0;0.3
Silver-bearing tough pitch Copper, UNS C11500;8.91;115.0;0.3
Silver-bearing tough pitch Copper, UNS C11600;8.91;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14300;8.94;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14300 OS025 Temper;8.94;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14300 H04 Temper;8.94;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14300 H08 Temper;8.94;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14300 H10 Temper;8.94;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14310;8.94;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14310 OS025 Temper;8.94;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14310 H04 Temper;8.94;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14310 H08 Temper;8.94;115.0;0.3
Cadmium-Copper, Deoxidized, UNS C14310 H10 Temper;8.94;115.0;0.3
Sulfur bearing Copper, UNS C14700;8.94;115.0;0.3
Beryllium Copper, UNS C17000;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TB00 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TD01 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TD02 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TD04 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TF00 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TH01 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TH02 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TH04 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TM00 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TM01 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TM02 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TM04 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TM06 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TM08 Temper Strip;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TB00 Temper rod, bar, plate tubing;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TF00 Temper rod, bar, plate tubing;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TD04 Temper rod, bar, plate tubing, <10 mm;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TH04 Temper rod, bar, plate tubing, <10 mm;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TD04 Temper rod, bar, plate tubing, 10-25 mm;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TH04 Temper rod, bar, plate tubing, 10-25 mm;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TD04 Temper rod, bar, plate tubing, >25 mm;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TH04 Temper rod, bar, plate tubing, >25 mm;8.26;115.0;0.3
Beryllium Copper, UNS C17000, As-cast Billet;8.26;115.0;0.3
Beryllium Copper, UNS C17000, Cast and Aged Billet;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TB00 Temper Billet;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TF00 Temper Billet;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TB00 Temper Forging;8.26;115.0;0.3
Beryllium Copper, UNS C17000, TF00 Temper Forging;8.26;115.0;0.3
Chromium Copper, UNS C18200, TB00 Temper flat products;8.89;130.0;0.3
Chromium Copper, UNS C18200, TF00 Temper flat products;8.89;130.0;0.3
Chromium Copper, UNS C18200, TD04 Temper tube;8.89;130.0;0.3
Chromium Copper, UNS C18200, TD08 Temper 4 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18200 TH03 Temper (cold worked 6%) 13 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18200, TH04 Temper flat products, aged;8.89;130.0;0.3
Chromium Copper, UNS C18200, TH08 Temper 4 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18200, OSO60 tube;8.89;130.0;0.3
Chromium Copper, UNS C18200, TB00 Temper rod;8.89;130.0;0.3
Chromium Copper, UNS C18200, TF00 Temper 50 mm Plate;8.89;130.0;0.3
Chromium Copper, UNS C18200, TF00 Temper 75 mm Plate;8.89;130.0;0.3
Chromium Copper, UNS C18200, TF00 Temper 13 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18200, TF00 Temper 25 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18200, TF00 Temper 50 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18200, TF00 Temper 75 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18200, TF00 Temper 100 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18200, TD04 Temper flat products;8.89;130.0;0.3
Chromium Copper, UNS C18200, TD04 Temper 13 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18200, TH04 Temper 13 mm rod, aged;8.89;130.0;0.3
Chromium Copper, UNS C18200, TH04 Temper TH04, Cold Worked 28% tube;8.89;130.0;0.3
Chromium Copper, UNS C18400;8.89;130.0;0.3
Chromium Copper, UNS C18400, TB00 Temper flat products;8.89;130.0;0.3
Chromium Copper, UNS C18400, TF00 Temper flat products;8.89;130.0;0.3
Chromium Copper, UNS C18400, TD04 Temper tube;8.89;130.0;0.3
Chromium Copper, UNS C18400, TD08 Temper 4 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18400 TH03 Temper (cold worked 6%) 13 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18400, TH04 Temper flat products, aged;8.89;130.0;0.3
Chromium Copper, UNS C18400, TH08 Temper 4 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18400, OSO60 tube;8.89;130.0;0.3
Chromium Copper, UNS C18400, TB00 Temper rod;8.89;130.0;0.3
Chromium Copper, UNS C18400, TF00 Temper 50 mm Plate;8.89;130.0;0.3
Chromium Copper, UNS C18400, TF00 Temper 75 mm Plate;8.89;130.0;0.3
Chromium Copper, UNS C18400, TF00 Temper 13 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18400, TF00 Temper 25 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18400, TF00 Temper 50 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18400, TF00 Temper 75 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18400, TF00 Temper 100 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18400, TD04 Temper flat products;8.89;130.0;0.3
Chromium Copper, UNS C18400, TD04 Temper 13 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18400, TH04 Temper 13 mm rod, aged;8.89;130.0;0.3
Chromium Copper, UNS C18400, TH04 Temper TH04, Cold Worked 28% tube;8.89;130.0;0.3
Chromium Copper, UNS C18500;8.89;130.0;0.3
Chromium Copper, UNS C18500, TB00 Temper flat products;8.89;130.0;0.3
Chromium Copper, UNS C18500, TF00 Temper flat products;8.89;130.0;0.3
Chromium Copper, UNS C18500, TD04 Temper tube;8.89;130.0;0.3
Chromium Copper, UNS C18500, TD08 Temper 4 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18500 TH03 Temper (cold worked 6%) 13 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18500, TH04 Temper flat products, aged;8.89;130.0;0.3
Chromium Copper, UNS C18500, TH08 Temper 4 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18500, OSO60 tube;8.89;130.0;0.3
Chromium Copper, UNS C18500, TB00 Temper rod;8.89;130.0;0.3
Chromium Copper, UNS C18500, TF00 Temper 50 mm Plate;8.89;130.0;0.3
Chromium Copper, UNS C18500, TF00 Temper 75 mm Plate;8.89;130.0;0.3
Chromium Copper, UNS C18500, TF00 Temper 13 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18500, TF00 Temper 25 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18500, TF00 Temper 50 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18500, TF00 Temper 75 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18500, TF00 Temper 100 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18500, TD04 Temper flat products;8.89;130.0;0.3
Chromium Copper, UNS C18500, TD04 Temper 13 mm rod;8.89;130.0;0.3
Chromium Copper, UNS C18500, TH04 Temper 13 mm rod, aged;8.89;130.0;0.3
Chromium Copper, UNS C18500, TH04 Temper TH04, Cold Worked 28% tube;8.89;130.0;0.3
Beryllium Copper, UNS C17200, TB00 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TB00 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TD01 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TD01 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TD02 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TD02 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TD04 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TD04 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TF00 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TF00 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TH01 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TH01 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TH02 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TH02 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TH04 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TH04 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TM00 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TM00 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TM01 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TM01 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TM02 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TM02 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TM04 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TM04 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TM06 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TM06 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TM08 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TM08 Temper Strip;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TB00 Temper rod, bar, plate, tubing;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TB00 Temper rod, bar, plate, tubing;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TD04 Temper rod, bar, plate, tubing, <9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TD04 Temper rod, bar, plate, tubing, <9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TD04 Temper rod, bar, plate, tubing, 9.5-25 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TD04 Temper rod, bar, plate, tubing, 9.5-25 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TD04 Temper rod, bar, plate, tubing, >25 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TD04 Temper rod, bar, plate, tubing, >25 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TF00 Temper rod, bar, plate, tubing;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TF00 Temper rod, bar, plate, tubing;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TH04 Temper rod, bar, plate, tubing, <9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TH04 Temper rod, bar, plate, tubing, <9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TH04 Temper rod, bar, plate, tubing, 9.5-25 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TH04 Temper rod, bar, plate, tubing, 9.5-25 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TH04 Temper rod, bar, plate, tubing, >25 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TH04 Temper rod, bar, plate, tubing, >25 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TB00 Temper wire;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TB00 Temper wire;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TD04 Temper wire, <2 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TD04 Temper wire, <2 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TD04 Temper wire, 2-9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TD04 Temper wire, 2-9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TD04 Temper wire, >9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TD04 Temper wire, >9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TF00 Temper wire;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TF00 Temper wire;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TH04 Temper wire, <2 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TH04 Temper wire, <2 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TH04 Temper wire, 2-9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TH04 Temper wire, 2-9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TH04 Temper wire, >9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TH04 Temper wire, >9.5 mm;8.25;127.5;0.3
Beryllium Copper, UNS C17200, As-cast Billet;8.25;127.5;0.3
Beryllium Copper, UNS C17300, As-cast Billet;8.25;127.5;0.3
Beryllium Copper, UNS C17200, Cast and Aged Billet;8.25;127.5;0.3
Beryllium Copper, UNS C17300, Cast and Aged Billet;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TB00 Tempered Billet;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TB00 Tempered Billet;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TF00 Tempered Billet;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TF00 Tempered Billet;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TB00 Tempered Forging;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TB00 Tempered Forging;8.25;127.5;0.3
Beryllium Copper, UNS C17200, TF00 Tempered Forging;8.25;127.5;0.3
Beryllium Copper, UNS C17300, TF00 Tempered Forging;8.25;127.5;0.3
Leaded Copper, UNS C18700;8.94;115.0;0.3
Leaded Copper, UNS C18700, H04 Temper 6 mm rod;8.94;115.0;0.3
Leaded Copper, UNS C18700, H04 Temper 13 mm rod;8.94;115.0;0.3
Leaded Copper, UNS C18700, H04 Temper 19 mm rod;8.94;115.0;0.3
Leaded Copper, UNS C18700, H04 Temper 25 mm rod;8.94;115.0;0.3
Copper, UNS C41100;8.8;120.0;0.3
Copper, UNS C41100, OSO50 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, OSO35 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, OSO25 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, OSO15 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, H01 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, H02 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, H03 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, H04 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, H06 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, H08 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, H10 Temper flat products;8.8;120.0;0.3
Copper, UNS C41100, H80 (70%) Temper 6 mm wire;8.8;120.0;0.3
Copper, UNS C41100, H80 (95%) Temper 3 mm wire;8.8;120.0;0.3
Copper, UNS C41100, H80 (98.7%) Temper 1 mm wire;8.8;120.0;0.3
Nickel silver 65-10, UNS C74500;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, OSO70 Temper flat products;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, OSO50, Temper flat products;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, OSO25, Temper flat products;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, OSO15, Temper flat products;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H00 Temper flat products;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H00 (10%) Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H01, Temper flat products;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H01 (20%) Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H02 Temper flat products;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H02 (37%) Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H04 Temper flat products;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H04 (60%) Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H06 Temper flat products;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H06 (75%) Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, H08 (84%) Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, OSO70 Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, OSO50, Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, OSO35, Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, OSO25, Temper wire;8.69;120.0;0.3
Nickel silver 65-10, UNS C74500, OSO15, Temper wire;8.69;120.0;0.3
Beryllium-Copper Alloy 165C, UNS C82400, As-Cast;8.31;128.0;0.3
Beryllium-Copper Alloy 165C, UNS C82400, Cast and Aged;8.31;128.0;0.3
Beryllium-Copper Alloy 165C, UNS C82400, TB00 Temper;8.31;128.0;0.3
Beryllium-Copper Alloy 165C, UNS C82400, TF00 Temper;8.31;128.0;0.3
Beryllium-Copper Alloy 20C, UNS C82500, As Cast;8.26;128.0;0.3
Beryllium-Copper Alloy 20C, UNS C82500, Cast and Aged;8.26;128.0;0.3
Beryllium-Copper Alloy 20C, UNS C82500, TB00 Temper;8.26;128.0;0.3
Beryllium-Copper Alloy 20C, UNS C82500, TF00 Temper;8.26;128.0;0.3
Beryllium Copper 21C UNS C82510 Casting Alloy As-Cast;8.26;128.0;0.3
Beryllium Copper 21C UNS C82510 Casting Alloy Cast and Aged;8.26;128.0;0.3
Beryllium Copper 21C UNS C82510 Casting Alloy Solution Treated;8.26;128.0;0.3
Beryllium Copper 21C UNS C82510 Casting Alloy Solution Treated and Aged;8.26;128.0;0.3
Beryllium-Copper Casting Alloy 245C, UNS C82600, As-Cast;8.16;130.0;0.3
Beryllium-Copper Casting Alloy 245C, UNS C82600, Cast and Aged;8.16;130.0;0.3
Beryllium-Copper Casting Alloy 245C, UNS C82600, TB00 Temper;8.16;130.0;0.3
Beryllium-Copper Casting Alloy 245C, UNS C82600, TF00 Temper;8.16;130.0;0.3
Beryllium-Copper Casting Alloy 275C, UNS C82800, As-Cast;8.09;133.0;0.3
Beryllium-Copper Casting Alloy 275C, UNS C82800, Cast and Aged;8.09;133.0;0.3
Beryllium-Copper Casting Alloy 275C, UNS C82800, TB00 Temper;8.09;133.0;0.3
Beryllium-Copper Casting Alloy 275C, UNS C82800, TF00 Temper;8.09;133.0;0.3
Magnesium HZ32A-T5, Cast;1.83;45.0;0.3
Magnesium ZC71, As-Extruded;1.83;44.2;0.3
Magnesium ZC71-T6, Extruded Bars/Shapes;1.84;44.2;0.3
Magnesium ZC71-T5;1.83;44.2;0.3
Magnesium ZC71-T6;1.83;44.2;0.3
Magnesium ZH62A-T5, Cast;1.86;45.0;0.3
309 Stainless Steel, soft tempered, wire, 1.57 mm diameter;8.0;200.0;0.3
309 Stainless Steel, soft tempered, wire, 12.7 mm diameter;8.0;200.0;0.3
309 Stainless Steel;8.0;200.0;0.3
AISI Type 309S (Cb) Stainless Steel, soft tempered, wire, 1.57 mm diameter;8.0;200.0;0.3
AISI Type 309S (Cb) Stainless Steel, soft tempered, wire, 12.7 mm diameter;8.0;200.0;0.3
AISI Type 309S (Cb) Stainless Steel;8.0;200.0;0.3
AISI Type 309S Stainless Steel, soft tempered, wire, 1.57 mm diameter;8.0;200.0;0.3
AISI Type 309S Stainless Steel, soft tempered, wire, 12.7 mm diameter;8.0;200.0;0.3
AISI Type 309S Stainless Steel;8.0;200.0;0.3
403 Stainless Steel, soft tempered, wire 6.4 mm diameter;7.8;200.0;0.3
403 Stainless Steel, tempered, bar;7.8;200.0;0.3
AISI Type A2 Tool Steel;7.86;203.0;0.3
AISI Type A6 Tool Steel;8.03;200.0;0.3
AISI Type H11 Hot Work Tool Steel, air or oil quenched from 995-1025°C;7.8;210.0;0.3
AISI Type H13 Hot Work Tool Steel;7.8;210.0;0.3
AISI Type O1 Oil-hardening Tool Steel, oil quenched at 800°C, tempered at 425°C;7.83;214.0;0.3
JIS SKD12 Tool Steel;7.86;203.0;0.3
Titanium Ti-3Al-2.5V (Grade 9), ST 925°C, Aged 480°C (900°F);4.48;100.0;0.3
Titanium Ti-3Al-2.5V (Grade 9), Alpha-Beta Anneal, Quenched;4.48;100.0;0.3
Titanium Ti-3Al-2.5V (Grade 9), Beta-Anneal 950°C;4.48;100.0;0.3
Titanium Ti-13V-11Cr-3Al (Ti-13-11-3) Solution Treated;4.82;99.0;0.3
Titanium Ti-13V-11Cr-3Al (Ti-13-11-3) Aged 400°C;4.82;110.0;0.3
Titanium Ti-13V-11Cr-3Al (Ti-13-11-3) Aged 490°C;4.82;110.0;0.3
W-5 Re Tungsten Rhenium Alloy;19.6;405.0;0.3
Materion AMC225XE T4 Aluminum/Silicon Carbide MMC Forged Plate;2.88;115.0;0.3
Materion AMC225XE T4 Aluminum/Silicon Carbide MMC Extruded Bar;2.88;115.0;0.3
ATI Wah Chang TI-3Al-2.5V;4.48;103.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Mill Hardened Strip (UNS C72700), TM00;8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Mill Hardened Strip (UNS C72700), TM02;8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Mill Hardened Strip (UNS C72700), TM04;8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Mill Hardened Strip (UNS C72700), TM06;8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Mill Hardened Strip (UNS C72700), TM08;8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Cold Rolled Strip (UNS C72700), A (TB00);8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Cold Rolled Strip (UNS C72700), 1/4H (TD01);8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Cold Rolled Strip (UNS C72700), 1/2H (TD02);8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Cold Rolled Strip (UNS C72700), H (TD04);8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Cold Rolled Strip (UNS C72700), EH (TD08);8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Cold Rolled Strip (UNS C72700), AT( TX00);8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Cold Rolled Strip (UNS C72700), 1/4HT (TS01);8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Cold Rolled Strip (UNS C72700), 1/2HT (TS02);8.91;124.0;0.3
Materion BrushForm 96 Copper-Nickel-Tin Cold Rolled Strip (UNS C72700), HT (TS04);8.91;124.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Mill Hardened Strip (UNS C72900), TM00;9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Mill Hardened Strip (UNS C72900), TM02;9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Mill Hardened Strip (UNS C72900), TM04;9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Mill Hardened Strip (UNS C72900), TM06;9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Mill Hardened Strip (UNS C72900), TM08;9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Mill Hardened Strip (UNS C72900), TM10;9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Mill Hardened Strip (UNS C72900), TM12;9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Mill Hardened Strip (UNS C72900), TM16;9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), A (TB00);9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), 1/4H (TD01);9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), 1/2H (TD02);9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), H (TD04);9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), EH (TD08);9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), AT( TX00);9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), 1/4HT (TS01);9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), 1/2HT (TS02);9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), HT (TS04);9.0;144.0;0.3
Materion BrushForm 158 Copper-Nickel-Tin Cold Rolled Strip (UNS C72900), EHT (TS08);9.0;128.0;0.3
Materion SupremEX 217XG Aluminum - Silicon Carbide Metal Matrix Composite, T6 CWQ Billet;2.86;98.0;0.3
Materion SupremEX 217XG Aluminum - Silicon Carbide Metal Matrix Composite, T6 HWQ Billet;2.86;98.0;0.3
Materion SupremEX 217XG Aluminum - Silicon Carbide Metal Matrix Composite, T6 PGQ Billet;2.86;98.0;0.3
Materion SupremEX 217XG Aluminum - Silicon Carbide Metal Matrix Composite, T6 CWQ Forged Plate;2.86;98.0;0.3
Materion SupremEX 217XG Aluminum - Silicon Carbide Metal Matrix Composite, T6 CWQ Extruded Bar;2.86;98.0;0.3
Materion SupremEX 225XE Aluminum - Silicon Carbide Metal Matrix Composite, T6 CWQ Billet;2.88;115.0;0.3
Materion SupremEX 225XE Aluminum - Silicon Carbide Metal Matrix Composite, T6 HWQ Billet;2.88;115.0;0.3
